"term","estimate","penalty","abs_est"
"FATS",3.53045998750614,0.000889513497310822,3.53045998750614
"Agency — State Hope Scale",1.24621091162862,0.000889513497310822,1.24621091162862
"Hopelessness — BHS-4",-0.349957949541738,0.000889513497310822,0.349957949541738
"Baseline PHQ-9 (reverse scored)",-0.306435358507076,0.000889513497310822,0.306435358507076
"Political Party: Republican",0.2364397277977,0.000889513497310822,0.2364397277977
"Household income (ordered)",-0.225295256975947,0.000889513497310822,0.225295256975947
"Depression change expectancies — DCES",0.217591936621633,0.000889513497310822,0.217591936621633
"Prior help: Support group",-0.181719978009732,0.000889513497310822,0.181719978009732
"Recruitment platform: Prolific",-0.117915984734876,0.000889513497310822,0.117915984734876
"Education (ordered)",0.113381581069098,0.000889513497310822,0.113381581069098
"Race: Black",-0.0969210671681923,0.000889513497310822,0.0969210671681923
"FFMQ — Non-reactivity to distressing thoughts",-0.0962066342240604,0.000889513497310822,0.0962066342240604
"Ethnicity: Not Hispanic/Latino",-0.092119991151963,0.000889513497310822,0.092119991151963
"Political Party: Something else",0.0908836502809881,0.000889513497310822,0.0908836502809881
"Disability or chronic condition",0.0813108344528057,0.000889513497310822,0.0813108344528057
"MacArthur Social Ladder",-0.071920655340073,0.000889513497310822,0.071920655340073
"Prior help: Therapist",-0.0712846610193961,0.000889513497310822,0.0712846610193961
"Marital Status: In a relationship",0.0655267661196341,0.000889513497310822,0.0655267661196341
"Gender: man",0.0491407004965393,0.000889513497310822,0.0491407004965393
"Prior help: Phone/text line",-0.0482281882478813,0.000889513497310822,0.0482281882478813
"Employment: Student",-0.0476770528536624,0.000889513497310822,0.0476770528536624
"Marital Status: Divorced",-0.0459975879624581,0.000889513497310822,0.0459975879624581
"Employment: Not in paid work",-0.0453763497455617,0.000889513497310822,0.0453763497455617
"Prior help: Medical doctor",-0.0327563988149016,0.000889513497310822,0.0327563988149016
"Employment: Unemployed",0.0213908154671761,0.000889513497310822,0.0213908154671761
"Readiness to change",-0.0189691217285822,0.000889513497310822,0.0189691217285822
"Prior help: Book/video",-0.0188919448391494,0.000889513497310822,0.0188919448391494
"Prior online mental health resource use",-0.0177782478890574,0.000889513497310822,0.0177782478890574
"Ethnicity: Mexican",-0.0161974966189856,0.000889513497310822,0.0161974966189856
"Age",-0.0137587363503353,0.000889513497310822,0.0137587363503353
"Race: White",0.0111099267785128,0.000889513497310822,0.0111099267785128
"Political Party: Independent",-0.00888987754479695,0.000889513497310822,0.00888987754479695
"Employment: Part-time",-0.00625101001556702,0.000889513497310822,0.00625101001556702
"Prior help: No formal support",0.00335876035994885,0.000889513497310822,0.00335876035994885
"Gender: woman",0.000680220577489773,0.000889513497310822,0.000680220577489773
"Marital Status: Married",0.00016338395149796,0.000889513497310822,0.00016338395149796
