"cluster_assignment","n","mean_max_posterior","median_max_posterior","mean_entropy","relative_entropy"
1,1777,0.828317276981436,0.895854506982898,0.414041046769716,0.701332517550428
2,1475,0.752374303515021,0.7654458940529,0.569076937980067,0.58949776184594
3,1554,0.870934783107514,0.964486435192147,0.308303601289538,0.777605961665687
4,2699,0.768879516042406,0.802036818869591,0.587335077318876,0.576327298305961
